timestamp,id,tweet_text,username,followers_count,favorite_count,location,city,country,coordinates
4/19/2019 18:54,1.12E+18,b'RT @France24_en: \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 #IndiaVotes: Has Indian nationalism heightened under @narendramodi?  \xf0\x9f\x94\x8e @DelanoDSouza speaks to South Asian historian @A\xe2\x80\xa6',b'rent_hero',382,0,b'',,,
4/19/2019 18:54,1.12E+18,"b'Environment, Jobs, Education, Health, Farmers issues, Banking Development, Economic Reforms, Poverty Eradication, Political Reforms. How many of these have you heard being debated during this #2019Elections Campaigning? #IndiaVotes'",b'narsimha_rvl',75,0,"b'Hyderabad, India'",,,
4/19/2019 18:34,1.12E+18,"b'RT @BT_India: Watch as #KiranMazumdarShaw, the Chairman and MD of #Biocon, talks about why the voter turnout has gone down in South Bangalo\xe2\x80\xa6'",b'INCbharuch',81,0,"b'Bharuch, India'",,,
4/19/2019 18:17,1.12E+18,"b""RT @WIONews: #LokSabhaElections2019 results will be out on 23rd May. 900 million voters decide India's future. A future the world awaits wi\xe2\x80\xa6""",b'konsinha37',52,0,b'',,,
4/19/2019 18:05,1.12E+18,b'RT @MirrorNow: #IndiaVotes | IPS Association tweets and BJP releases statement over the remarks made by #SadhviPragya on martyr #HemantKark\xe2\x80\xa6',b'dharmeshkaurav',7,0,b'bhopal ',,,
4/19/2019 17:35,1.12E+18,b'Complaining is the second most patriotic thing you can do. Voting is the first. Step out and make your vote count! #vote #yourvotecounts #votingmatters #votingrights #Indiavotes https://t.co/MArHwBj7OR',b'falgunirajput',105,0,b'Mumbai',,,
4/19/2019 17:29,1.12E+18,b'RT @France24_en: \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 #IndiaVotes: Has Indian nationalism heightened under @narendramodi?  \xf0\x9f\x94\x8e @DelanoDSouza speaks to South Asian historian @A\xe2\x80\xa6',b'AlbanAlvarez',845,0,b'Delhi',,,
4/19/2019 17:11,1.12E+18,"b'Go out and Vote,Go out and show your Power!The Power lies in your hands,The Power lies in your Vote,Dii Tekha\xf0\x9f\x96\x95! #letsvote #voteright #indiavotes #powertothepeople https://t.co/EqswQjax2b'",b'varun_carvalho',197,0,b'Amchem Goa',,,
4/19/2019 16:45,1.12E+18,"b'RT @scpatodia: To strengthen the democracy be a cause. On 29th April,7:00am to 6:00pm is polling time , So cast your vote and serve the nat\xe2\x80\xa6'",b'DisplaysThe',299,0,b'',,,
4/19/2019 16:45,1.12E+18,"b'RT @scpatodia: To strengthen the democracy be a cause. On 29th April,7:00am to 6:00pm is polling time , So cast your vote and serve the nat\xe2\x80\xa6'",b'nksukhadiaandco',9,0,"b'Mumbai, India'",,,
4/19/2019 16:42,1.12E+18,"b'To strengthen the democracy be a cause. On 29th April,7:00am to 6:00pm is polling time , So cast your vote and serve the nation.  #MumbaiVotes  #IndiaVotes  #ICAI #WircofICAI'",b'scpatodia',8742,6,"b'Mumbai, India'",,,
4/19/2019 16:40,1.12E+18,"b""RT @MirrorNow: #IndiaVotes | @rssurjewala briefs media; says PM @narendramodi should apologise for Sadhvi Pragya's comments on 26/11 martyr\xe2\x80\xa6""",b'golupachwania',44,0,"b'Haryana, India'",,,
4/19/2019 16:30,1.12E+18,"b""RT @MirrorNow: #IndiaVotes | @rssurjewala briefs media; says PM @narendramodi should apologise for Sadhvi Pragya's comments on 26/11 martyr\xe2\x80\xa6""",b'counter_voice_',18,0,b'India',,,
4/19/2019 16:23,1.12E+18,b'RT @MirrorNow: #IndiaVotes | 15 lakh farmers in #Rajkot await compensation after crop failure due to severe #drought and water scarcity. Fa\xe2\x80\xa6',b'IndiaLynnehenry',104,0,b'',,,
4/19/2019 16:22,1.12E+18,b'@ndtvvideos Here comes Muslim Champions @Mayawati @Mulayamsamajwad. I keep wondering what they actually did for #Muslims in their tenures as CMs? \xf0\x9f\xa4\x94 #IndiaElections2019 #IndiaVotes',b'AroundUS2018',1,0,"b'London, England'",,,
4/19/2019 16:20,1.12E+18,"b""RT @MirrorNow: #IndiaVotes | @rssurjewala briefs media; says PM @narendramodi should apologise for Sadhvi Pragya's comments on 26/11 martyr\xe2\x80\xa6""",b'ratulheaven1',131,0,"b'Assam, India'",,,
4/19/2019 16:10,1.12E+18,b'Seems Pragya Thakur apologised  Means what?? Her masters told her that it will affect the elections. Look at these Hypocrite #BJP  #PragyaThakur #HemantKarkare #LokSabhaElections2019 #IndiaVotes #LokSabha2019',b'arian290360',115,1,b'mumbai',,,
4/19/2019 15:58,1.12E+18,b'RT @France24_en: \xf0\x9f\x87\xae\xf0\x9f\x87\xb3 #IndiaVotes: Has Indian nationalism heightened under @narendramodi?  \xf0\x9f\x94\x8e @DelanoDSouza speaks to South Asian historian @A\xe2\x80\xa6',b'atasiblog',211,0,b'',,,
4/19/2019 15:38,1.12E+18,b'RT @Fusion_kutch: #VoteForIndia #FusionGroup #IndiaVotes Please make your vote count! Fusion Group appeals to vote!!  #ElectionDay #Electio\xe2\x80\xa6',b'hardikraychanda',131,0,"b'Mandvi, India'",,,
